Temperature,Humidity,Soil_pH,Soil_Moisture,Fertile
29,63.75,6.1,61.91,1
30,55.63,6.24,62.26,1
28,62.5,5.79,59.84,0
30,60.63,6.26,62.37,1
29,66.25,5.95,61.58,1
28,55,5.86,60.05,0
30,71.25,6.03,61.79,1
29,58.75,5.92,61.02,1
31,70,5.96,61.94,1
27,70,5.75,59.95,0
28,54.38,5.85,60.05,0
29,64.38,6.42,63.02,1
31,63.75,5.98,61.62,1
30,68.13,6.26,62.22,1
28,61.88,5.9,61.03,1
29,66.25,6.11,61.58,1
27,60,5.8,59.92,0
29,59.38,6.04,60.85,1
30,66.88,5.65,60.31,0
29,67.5,6.25,61.77,1
30,69.38,6.2,61.83,1
27,62.5,5.78,59.79,0
29,56.25,5.9,60.79,1
29,60,6.31,62.62,1
29,56.88,5.9,60.54,1
28,62.5,5.77,59.92,0
29,57.19,5.93,60.21,1
28,57.19,5.77,59.79,0
29,60,5.8,59.95,0
29,56.88,6.3,61.72,1
28,63.75,6.33,62.76,1
29,57.19,5.79,59.86,0
29,66.88,5.71,60.65,0
30,62.19,6.05,61.62,1
29,67.5,6.07,61.72,1
29,62.19,6.15,61.35,1
30,66.88,6.38,62.37,1
28,61.88,6.12,61.53,1
27,69.38,5.72,59.79,0
28,62.5,5.83,60.07,0
29,62.19,5.8,59.84,0
28,67.5,6.12,61.71,1
28,57.19,5.81,59.89,0
28,65.63,5.83,60,0
30,56.88,5.91,60.54,1
29,67.5,6.22,61.94,1
29,66.25,5.83,60,0
28,56.25,5.82,59.89,0
29,65.63,6.32,61.94,1
27,65.63,6.37,62.49,1
31,56.88,6.21,62.51,1
29,67.5,6.24,61.94,1
29,60.63,6.31,62.37,1
30,66.88,6.22,62.37,1
29,62.5,5.83,60,0
29,57.5,5.84,59.95,0
29,68.75,6.12,61.79,1
29,61.25,5.87,60.07,0
31,66.88,5.65,60.31,0
27,56.25,5.83,60.05,0
28,65.63,6.04,60.65,1
27,57.19,5.79,59.86,0
30,55,6.25,62.05,1
30,69.38,6.21,61.77,1
29,70,6.15,61.94,1
29,60,5.81,59.95,0
30,70,6.08,61.91,1
28,56.88,5.78,59.86,0
29,66.25,5.84,60,0
28,61.88,6.06,61.58,1
29,55,6.29,62.37,1
29,54.38,5.84,60.07,0
28,57.19,5.93,60.31,1
29,66.25,5.91,61.62,1
30,67.5,6.04,61.79,1
31,70,6.02,62.05,1
31,69.38,6.22,61.94,1
28,65.63,6.42,63.02,1
29,62.5,5.78,59.86,0
29,57.19,5.92,60.79,1
29,66.88,6.11,61.77,1
28,67.5,6.11,61.35,1
28,66.88,6.01,61.35,1
30,68.13,6.08,61.58,1
30,56.88,5.91,60.54,1
28,61.88,5.77,59.84,0
30,70,6.05,61.67,1
30,60.63,5.93,61.03,1
31,68.13,6.21,61.91,1
30,53.75,6.36,62.26,1
31,67.5,6.29,62.76,1
30,66.88,6.3,62.22,1
27,59.38,5.78,59.95,0
30,68.13,6.22,61.94,1
28,63.13,5.75,60.14,0
28,56.25,5.93,61.03,1
29,66.25,5.95,61.35,1
28,66.88,6.56,62.76,1
28,62.5,5.78,59.84,0
30,66.88,6.13,61.77,1
28,61.88,5.76,59.86,0
29,62.5,6.15,61.35,1
29,60,6.3,62.62,1
27,57.5,5.81,59.89,0
32,68.75,5.92,61.91,1
31,66.88,6.3,61.77,1
28,67.5,6.25,62.05,1
30,66.25,6.08,61.09,1
30,67.5,6.14,62.37,1
29,62.5,5.9,61.09,1
28,68.75,6.12,61.35,1
29,58.75,5.84,60,0
30,60.63,5.93,60.85,1
30,68.75,6.04,61.35,1
28,60,5.81,59.95,0
28,70,5.75,59.92,0
31,57.19,5.88,60.85,1
31,70,5.95,61.91,1
32,70,5.98,61.94,1
29,56.88,5.9,60.14,1
28,66.25,5.87,60,0
27,66.25,6.38,63.02,1
29,68.13,5.69,61.58,0
28,65.63,6.33,80,1
28,60,5.83,60.05,0
30,59.38,5.96,60.94,1
30,64.38,6.26,61.91,1
27,61.88,5.75,59.86,0
29,61.25,5.83,60.07,0
29,57.19,5.75,59.95,0
29,62.19,5.76,59.95,0
28,54.38,5.83,60.05,0
28,68.75,6.08,61.77,1
29,63.75,5.92,61.94,1
27,68.13,6.07,61.77,1
29,67.5,6.3,62.22,1
28,66.88,5.92,61.35,1
29,67.5,6.14,61.58,1
29,56.88,5.76,59.84,0
31,53.13,6.39,62.37,1
29,56.88,6.2,62.51,1
27,57.5,5.8,59.89,0
28,65.63,6.02,60.65,1
29,55,6.23,62.37,1
28,62.5,5.93,61.53,1
27,61.88,5.83,60.07,0
31,65.63,6.31,62.05,1
29,60.63,5.84,60.07,0
27,61.88,6.12,61.35,1
29,63.13,6.05,61.35,1
28,68.75,6.07,61.67,1
27,61.25,5.75,59.86,0
27,68.13,6.29,62.22,1
27,63.13,5.75,59.95,0
27,60,5.81,59.95,0
30,54.38,6.3,62.22,1
28,61.88,5.78,59.86,0
26,56.25,5.8,59.86,0
29,53.13,6.44,63.02,1
29,66.88,5.67,60.54,0
27,66.25,5.84,60,0
28,70,6.14,62.05,1
31,68.13,6.04,61.35,1
29,59.38,5.82,60.07,0
29,65.63,6.07,61.09,1
28,66.88,6.08,61.35,1
27,67.5,6.14,61.09,1
28,63.13,6.14,61.53,1
31,70,5.98,62.05,1
29,63.13,6.13,62.05,1
28,56.88,5.77,59.79,0
30,69.38,5.96,61.09,1
27,61.88,5.77,59.79,0
28,66.88,5.96,61.35,1
30,53.75,6.24,62.22,1
28,66.88,6.25,61.58,1
28,60,5.83,59.95,0
28,66.25,6.42,63.98,1
28,62.5,5.87,60,0
29,66.25,6.39,62.49,1
29,54.38,5.84,60.07,0
30,60,6.38,62.62,1
31,53.13,6.3,62.22,1
29,62.5,5.83,60.07,0
28,55.63,5.76,59.86,0
31,66.88,6.08,61.91,1
28,68.75,5.72,59.79,0
31,57.5,5.95,60.94,1
31,54.38,6.24,62.22,1
29,65.63,6.39,63.02,1
30,67.5,5.66,60.54,0
28,56.25,5.84,59.89,0
31,67.5,6.21,62.22,1
29,65.63,6.46,62.49,1
27,61.25,5.92,61.53,1
28,70,5.73,59.89,0
30,59.38,6.38,62.22,1
28,57.19,6.3,62.05,1
30,67.5,6.3,62.05,1
27,65.63,5.84,60,0
29,65.63,5.9,61.67,1
29,68.13,5.71,59.79,0
27,57.19,5.84,60.07,0
29,62.5,5.84,60,0
31,55,6.2,62.05,1
30,54.38,6.3,62.05,1
29,58.75,5.85,60,0
28,62.19,5.77,59.92,0
29,68.75,6.05,61.09,1
28,60,6.29,63.27,1
28,67.5,5.71,59.79,0
29,64.38,6.02,61.62,1
31,70,6.11,61.35,1
28,63.13,6,60.65,1
27,58.75,5.81,59.89,0
29,60.63,6.4,62.37,1
31,66.25,6.08,61.58,1
26,68.75,6.05,61.77,1
30,63.13,6.13,61.58,1
31,67.5,5.67,60.14,0
27,66.25,6.38,62.49,1
30,66.88,5.65,60.14,0
30,57.19,6.21,62.05,1
28,71.25,5.75,59.95,0
31,52.5,6.36,62.05,1
31,71.25,5.95,61.91,1
28,67.5,5.7,59.86,0
32,66.25,6.31,61.91,1
27,62.5,6.05,61.77,1
32,68.75,6.03,62.05,1
28,56.25,5.77,59.79,0
32,70,5.9,61.94,1
30,61.88,5.9,60.07,0
28,70,6.12,61.77,1
30,62.5,5.75,60,0
29,67.5,5.67,61.58,0
29,68.13,6.14,61.58,1
30,62.19,6.07,61.58,1
28,63.13,5.75,60,0
29,60.63,5.84,60.07,0
29,59.38,5.8,59.95,0
27,72.5,5.75,60,0
29,59.38,5.8,59.84,0
29,55.63,5.84,60.07,0
26,54.38,5.86,60,0
27,66.25,6.56,62.62,1
30,67.5,5.85,60,0
29,65.63,6.33,80,1
28,57.5,5.8,60.07,0
27,62.19,5.77,59.86,0
28,66.25,6,60.65,1
30,66.25,6.38,62.26,1
28,62.5,6.06,61.35,1
27,68.13,6.14,61.09,1
30,68.13,6.11,61.77,1
30,57.19,5.93,60.85,1
27,57.5,5.82,60.07,0
30,67.5,6.08,61.09,1
29,62.19,5.8,59.84,0
29,63.13,5.76,59.95,0
31,55.63,6.19,62.05,1
30,58.75,6.31,62.62,1
29,66.88,6.39,62.22,1
31,53.75,6.17,61.58,1
27,60,5.74,59.86,0
28,62.19,5.83,60.07,0
27,60.63,6.29,63.98,1
32,67.5,5.68,60.14,0
28,58.75,5.84,60,0
29,53.75,5.83,60.07,0
27,56.25,5.8,59.86,0
28,69.38,6.12,61.58,1
30,61.25,5.85,60.07,0
30,52.5,6.36,63.98,1
30,57.5,5.83,60.07,0
28,61.25,5.87,60,0
31,65.63,6.21,61.91,1
33,68.75,5.96,61.91,1
29,68.13,6.12,61.77,1
30,58.75,6.25,62.62,1
28,62.5,5.76,59.95,0
30,55,5.92,60.21,1
29,59.38,5.8,59.92,0
28,57.5,5.88,60,0
30,63.13,5.78,59.95,0
30,62.5,5.79,59.84,0
27,58.75,5.84,60,0
30,62.19,6.04,61.58,1
29,59.38,5.8,59.92,0
30,57.5,5.83,60.07,0
29,68.13,5.72,59.79,0
29,66.88,6,61.09,1
30,56.88,5.75,59.84,0
32,67.5,6.31,62.62,1
28,51.88,5.84,60.54,0
29,67.5,5.69,61.62,0
30,53.13,6.38,62.51,1
28,68.75,5.74,59.79,0
30,65.63,6.39,61.91,1
29,60,6.31,62.51,1
31,55.63,6.2,62.05,1
28,61.25,6.24,64.09,1
31,54.38,6.3,62.62,1
31,60,6.36,62.51,1
28,60,5.8,60,0
30,57.19,5.88,60.85,1
30,71.25,5.96,62.37,1
27,57.19,5.8,59.86,0
30,66.88,5.66,60.31,0
28,55,5.86,60,0
32,66.88,6.31,63.27,1
29,68.13,6.14,61.94,1
30,53.75,6.3,62.37,1
30,72.5,5.97,61.77,1
27,66.25,5.85,59.92,0
31,72.5,5.96,62.05,1
28,58.75,5.93,60.85,1
29,68.13,6.14,62.05,1
30,71.25,6.14,61.77,1
29,62.5,5.85,60,0
28,68.75,5.69,61.35,0
28,57.5,5.82,59.84,0
29,60.63,6.29,62.22,1
29,56.88,5.79,59.86,0
30,70,6.14,61.35,1
31,60.63,5.87,60.14,0
31,70,5.95,61.94,1
26,57.19,5.79,59.86,0
31,70,5.92,62.05,1
27,55,5.83,60.07,0
31,55.63,5.88,60.54,1
30,73.13,5.97,62.05,1
31,60.63,5.86,60.07,0
27,68.13,5.69,61.58,0
29,55.63,6.19,62.37,1
29,58.75,5.81,59.95,0
31,57.5,6.38,62.62,1
29,62.5,5.76,59.86,0
29,56.88,5.89,60.54,1
31,58.75,6.2,62.05,1
27,56.25,5.82,59.79,0
30,63.75,5.79,59.95,0
30,55.63,5.93,60.54,1
28,56.88,5.85,60.54,1
28,62.5,5.75,59.95,0
28,63.13,6.08,61.35,1
27,62.19,5.74,59.95,0
27,58.75,5.8,59.86,0
28,61.88,5.87,60,0
29,62.19,5.82,60,0
30,58.75,5.81,60,0
28,66.88,6.2,62.37,1
28,60.63,5.81,60,0
31,70,6,62.05,1
31,68.13,6.21,62.05,1
29,56.88,5.84,60.14,0
27,60.63,5.83,60.07,0
32,68.75,6,61.91,1
30,63.13,6.11,61.77,1
31,53.75,6.42,62.51,1
32,52.5,6.37,62.05,1
28,68.75,6.07,61.94,1
28,55.63,5.81,59.84,0
28,67.5,6.01,61.53,1
26,56.25,5.77,59.86,0
29,60,6.39,63.02,1
27,67.5,5.71,59.79,0
30,55,6.3,62.22,1
28,70,5.75,59.95,0
26,67.5,6.3,62.37,1
28,57.5,5.84,59.95,0
28,61.25,5.84,60.14,0
28,72.5,5.76,60,0
29,61.88,6.24,63.98,1
30,59.38,5.8,59.92,0
30,65.63,5.82,60,0
31,64.38,5.96,61.91,1
31,70,6.07,61.91,1
27,69.38,6.07,61.35,1
31,55.63,6.3,62.37,1
30,67.5,6.2,62.05,1
26,57.19,5.8,59.86,0
31,55.63,5.9,60.54,1
30,63.75,5.8,59.95,0
30,66.25,5.84,60,0
30,57.19,5.78,59.84,0
29,60,6.43,62.22,1
28,66.88,6.12,61.09,1
30,60.63,6.31,64.09,1
27,61.88,5.83,60.14,0
